"np","dist","gamma","id","timelag","spacelag","avgDist"
"127",246712,26.0355822945187,0.512089663666167,"lag9",127.5,26,26.0326115889573
"128",250122,30.0427843869682,0.534863566744995,"lag9",127.5,30,30.0425450128762
"129",258810,34.0294324344637,0.543179762603277,"lag9",127.5,34,34.0282384623555
"130",261358,38.0276724568218,0.543902736767165,"lag9",127.5,38,38.0302945730219
"131",280210,41.9898004008061,0.564777240036394,"lag9",127.5,42,41.9905617694245
"132",290042,45.9909691405077,0.567228001587847,"lag9",127.5,46,45.9928261477176
"133",271768,49.9899395548079,0.568327362014961,"lag9",127.5,50,49.9873807439152
"134",273348,54.0135588550604,0.560418478085865,"lag9",127.5,54,54.0179203911063
"135",262910,58.0089690261607,0.57972462882572,"lag9",127.5,58,58.0054373051541
"136",148062,1.26295175937314,0.231802264318966,"lag10",142.5,2,1.35904227543354
"137",244646,5.59380142096189,0.239831951938123,"lag10",142.5,6,5.64530809277469
"138",188186,9.88997184906363,0.421959620498059,"lag10",142.5,10,9.90394551513826
"139",179028,13.8960278590649,0.521553530886588,"lag10",142.5,14,13.9101555422594
"140",199886,17.9956025536744,0.53041008118338,"lag10",142.5,18,17.9970288375498
"141",212834,22.0543372976336,0.57897328060589,"lag10",142.5,22,22.0500977764549
"142",233300,26.0349797191459,0.583400011533495,"lag10",142.5,26,26.0326115889573
"143",236832,30.0357691329517,0.581691128697932,"lag10",142.5,30,30.0425450128762
"144",245654,34.031997136763,0.590503655658485,"lag10",142.5,34,34.0282384623555
"145",248322,38.0304149664798,0.605703355813456,"lag10",142.5,38,38.0302945730219
"146",264742,41.9806048920934,0.613911627114557,"lag10",142.5,42,41.9905617694245
"147",275892,45.9892564982684,0.612744893170102,"lag10",142.5,46,45.9928261477176
"148",259432,49.991671740359,0.610458287950068,"lag10",142.5,50,49.9873807439152
"149",261530,54.0223979253144,0.615696407333868,"lag10",142.5,54,54.0179203911063
"150",247390,57.9975271889102,0.649229159197451,"lag10",142.5,58,58.0054373051541
"151",150716,1.22020734400975,0.291673947135647,"lag11",157.5,2,1.35904227543354
"152",241362,5.59180774077221,0.247523861635364,"lag11",157.5,6,5.64530809277469
"153",184966,9.88767409042,0.490921717459789,"lag11",157.5,10,9.90394551513826
"154",169206,13.8890123761439,0.575317284063939,"lag11",157.5,14,13.9101555422594
"155",184306,17.9864110310707,0.589066215803356,"lag11",157.5,18,17.9970288375498
"156",190164,22.0607483992748,0.673717342080681,"lag11",157.5,22,22.0500977764549
"157",204860,26.0422087218642,0.63987523342211,"lag11",157.5,26,26.0326115889573
"158",209546,30.0581789194021,0.660304264611974,"lag11",157.5,30,30.0425450128762
"159",221504,34.0380855231084,0.62265917250203,"lag11",157.5,34,34.0282384623555
"160",228298,38.0444508292273,0.60429715077948,"lag11",157.5,38,38.0302945730219
"161",250878,41.9895913063554,0.6094757019363,"lag11",157.5,42,41.9905617694245
"162",263416,45.9947650277694,0.607155558059037,"lag11",157.5,46,45.9928261477176
"163",246416,49.9861553659311,0.61309549472223,"lag11",157.5,50,49.9873807439152
"164",247676,54.0100114472507,0.635284274526457,"lag11",157.5,54,54.0179203911063
"165",232586,58.0080176348496,0.673028754343038,"lag11",157.5,58,58.0054373051541
"166",145582,1.25513440339089,0.214750600357152,"lag12",172.5,2,1.35904227543354
"167",242640,5.60244575720827,0.214569567918054,"lag12",172.5,6,5.64530809277469
"168",188818,9.8892967320185,0.366030770715309,"lag12",172.5,10,9.90394551513826
