"np","dist","gamma","id","timelag","spacelag","avgDist"
"33",35582,6.64487038357688,602128.050996464,"lag3",37.5,6.66666666666667,6.60024498015333
"34",33364,9.33606473896871,628370.351468216,"lag3",37.5,9.33333333333333,9.32998561145327
"35",42836,12.0812972453652,590127.762745026,"lag3",37.5,12,12.0924339552585
"36",34086,14.6050258530655,610010.4419558,"lag3",37.5,14.6666666666667,14.5768059821679
"37",33720,17.2491818976804,655066.504870908,"lag3",37.5,17.3333333333333,17.2555644435174
"38",23916,20.0499040170576,703555.485403979,"lag3",37.5,20,20.036210560936
"39",19846,22.6408935160756,874578.456319404,"lag3",37.5,22.6666666666667,22.6384091596963
"40",19784,25.1657696845188,828153.20840008,"lag3",37.5,25.3333333333333,25.2014854903965
"41",19294,27.9488992814489,915445.141689738,"lag3",37.5,28,27.9537321307265
"42",19536,30.6706346729093,973070.677645095,"lag3",37.5,30.6666666666667,30.6777973974784
"43",21298,33.37333482524,1002919.34036757,"lag3",37.5,33.3333333333333,33.3735084578813
"44",18568,35.9494484062921,951976.753692631,"lag3",37.5,36,35.9662108680481
"45",21050,38.6840143702916,1013012.39243476,"lag3",37.5,38.6666666666667,38.6972562381699
"46",73158,0.862732762671726,377852.085518546,"lag4",52.5,1.33333333333333,0.869797621567366
"47",61204,4.10186588921412,386412.823764705,"lag4",52.5,4,4.10048653813318
"48",33046,6.62972621211614,570932.362870857,"lag4",52.5,6.66666666666667,6.60024498015333
"49",31506,9.34021533436598,629994.999512078,"lag4",52.5,9.33333333333333,9.32998561145327
"50",41466,12.0903949395874,592824.764370773,"lag4",52.5,12,12.0924339552585
"51",33414,14.6043239065398,565910.549385615,"lag4",52.5,14.6666666666667,14.5768059821679
"52",31922,17.2586133200729,634050.656263417,"lag4",52.5,17.3333333333333,17.2555644435174
"53",24650,19.9983431644128,665391.080079537,"lag4",52.5,20,20.036210560936
"54",18942,22.6313467434523,843187.277545785,"lag4",52.5,22.6666666666667,22.6384091596963
"55",18316,25.1688896962883,825344.792503988,"lag4",52.5,25.3333333333333,25.2014854903965
"56",17618,27.9318148487204,868421.535482696,"lag4",52.5,28,27.9537321307265
"57",18188,30.6761708264672,988073.332758277,"lag4",52.5,30.6666666666667,30.6777973974784
"58",19984,33.3737406771555,941128.289982385,"lag4",52.5,33.3333333333333,33.3735084578813
"59",17550,35.9658170885905,910676.602365996,"lag4",52.5,36,35.9662108680481
"60",19118,38.6924232005081,1007412.51533734,"lag4",52.5,38.6666666666667,38.6972562381699
"61",71994,0.865488124094507,408866.324177139,"lag5",67.5,1.33333333333333,0.869797621567366
"62",59786,4.11278542425645,412083.796476262,"lag5",67.5,4,4.10048653813318
"63",32702,6.62266643424389,631025.910767953,"lag5",67.5,6.66666666666667,6.60024498015333
"64",31044,9.33639994463661,635563.21313548,"lag5",67.5,9.33333333333333,9.32998561145327
"65",40004,12.0782107870209,609911.864895511,"lag5",67.5,12,12.0924339552585
"66",33052,14.5980835438814,597298.974089435,"lag5",67.5,14.6666666666667,14.5768059821679
"67",31722,17.2540161896884,634243.747946338,"lag5",67.5,17.3333333333333,17.2555644435174
"68",21950,20.0309717116027,735100.344094626,"lag5",67.5,20,20.036210560936
"69",19102,22.628800014192,851055.058963496,"lag5",67.5,22.6666666666667,22.6384091596963
"70",17686,25.1943215645832,820408.34458118,"lag5",67.5,25.3333333333333,25.2014854903965
"71",17712,27.9565331850206,885464.387132487,"lag5",67.5,28,27.9537321307265
"72",18272,30.6646325449167,1002539.91014888,"lag5",67.5,30.6666666666667,30.6777973974784
"73",19780,33.3783741117919,952666.982001273,"lag5",67.5,33.3333333333333,33.3735084578813
"74",17372,35.963875210137,941509.088430354,"lag5",67.5,36,35.9662108680481
"75",18674,38.697335897318,1029634.74055618,"lag5",67.5,38.6666666666667,38.6972562381699
"76",67348,0.876241243084485,408092.158780183,"lag6",82.5,1.33333333333333,0.869797621567366
"77",58058,4.11377719529241,405361.757475747,"lag6",82.5,4,4.10048653813318
"78",30674,6.60286061634085,653551.731986342,"lag6",82.5,6.66666666666667,6.60024498015333
"79",30108,9.3256762500454,667509.615914608,"lag6",82.5,9.33333333333333,9.32998561145327
"80",38870,12.0931119472423,614697.801898845,"lag6",82.5,12,12.0924339552585
"81",32916,14.5928309979507,621131.093781691,"lag6",82.5,14.6666666666667,14.5768059821679
"82",30742,17.245239876655,658609.440819032,"lag6",82.5,17.3333333333333,17.2555644435174
"83",21392,20.0325512484708,719188.013569769,"lag6",82.5,20,20.036210560936
"84",18898,22.6292313151027,810862.635592545,"lag6",82.5,22.6666666666667,22.6384091596963
"85",18090,25.1899581784474,775959.843516462,"lag6",82.5,25.3333333333333,25.2014854903965
"86",17928,27.9343946405989,900334.071976454,"lag6",82.5,28,27.9537321307265
"87",18590,30.6801070975371,932848.684865108,"lag6",82.5,30.6666666666667,30.6777973974784
"88",20324,33.3813539900691,955956.955654715,"lag6",82.5,33.3333333333333,33.3735084578813
"89",17624,35.9535368111908,956928.41944449,"lag6",82.5,36,35.9662108680481
"90",19034,38.7105633343507,1014309.48243722,"lag6",82.5,38.6666666666667,38.6972562381699
"91",67250,0.877831082223766,435327.581794655,"lag7",97.5,1.33333333333333,0.869797621567366
"92",56724,4.11274696519109,437804.45108253,"lag7",97.5,4,4.10048653813318
"93",31222,6.60673447444981,683078.404280573,"lag7",97.5,6.66666666666667,6.60024498015333
"94",29740,9.34994906960331,713325.356167715,"lag7",97.5,9.33333333333333,9.32998561145327
"95",39322,12.0927205499039,656316.898736375,"lag7",97.5,12,12.0924339552585
"96",32666,14.555278030064,577336.904808196,"lag7",97.5,14.6666666666667,14.5768059821679
"97",32028,17.261214598969,658656.411420916,"lag7",97.5,17.3333333333333,17.2555644435174
"98",22042,20.04155647646,724384.30530884,"lag7",97.5,20,20.036210560936
"99",19842,22.6381349913464,825730.143224216,"lag7",97.5,22.6666666666667,22.6384091596963
"100",18682,25.1927526902278,849635.396519773,"lag7",97.5,25.3333333333333,25.2014854903965
"101",18316,27.9477026672732,898515.943663843,"lag7",97.5,28,27.9537321307265
"102",18782,30.6985890946818,1011837.32891815,"lag7",97.5,30.6666666666667,30.6777973974784
"103",20880,33.3776724665417,991780.631822943,"lag7",97.5,33.3333333333333,33.3735084578813
"104",17922,35.9649097866875,981581.740297036,"lag7",97.5,36,35.9662108680481
"105",19320,38.7024341974893,1002335.41856214,"lag7",97.5,38.6666666666667,38.6972562381699
"106",63182,0.873088738061943,401146.449618621,"lag8",112.5,1.33333333333333,0.869797621567366
"107",53244,4.09552866170099,441731.146298666,"lag8",112.5,4,4.10048653813318
"108",27364,6.59619024586867,668735.475618615,"lag8",112.5,6.66666666666667,6.60024498015333
"109",27270,9.3255913291699,706378.763450025,"lag8",112.5,9.33333333333333,9.32998561145327
"110",36566,12.1094002739741,627073.01010311,"lag8",112.5,12,12.0924339552585
"111",29762,14.5610014246382,630707.617053523,"lag8",112.5,14.6666666666667,14.5768059821679
"112",30826,17.2710412999809,654220.553991045,"lag8",112.5,17.3333333333333,17.2555644435174
"113",20450,20.0582818638365,722041.674406948,"lag8",112.5,20,20.036210560936
"114",19426,22.6470028086906,847961.742213892,"lag8",112.5,22.6666666666667,22.6384091596963
"115",18758,25.1846498821639,802068.035550689,"lag8",112.5,25.3333333333333,25.2014854903965
"116",18718,27.944191397947,805702.381437805,"lag8",112.5,28,27.9537321307265
"117",18554,30.6828104537573,964923.773717943,"lag8",112.5,30.6666666666667,30.6777973974784
"118",20290,33.3845460068173,948574.106214266,"lag8",112.5,33.3333333333333,33.3735084578813
"119",18550,35.9747407127566,936021.762063931,"lag8",112.5,36,35.9662108680481
"120",19228,38.7047297786468,968722.08262274,"lag8",112.5,38.6666666666667,38.6972562381699
"121",64046,0.882267899317615,458166.697038202,"lag9",127.5,1.33333333333333,0.869797621567366
"122",53392,4.0937843242338,442018.148398981,"lag9",127.5,4,4.10048653813318
"123",28688,6.59618182425818,708447.92286549,"lag9",127.5,6.66666666666667,6.60024498015333
"124",28282,9.3055590474492,730221.345637361,"lag9",127.5,9.33333333333333,9.32998561145327
"125",37390,12.0946722699197,681091.979598414,"lag9",127.5,12,12.0924339552585
"126",29806,14.5560068103096,658612.711484257,"lag9",127.5,14.6666666666667,14.5768059821679
"127",31816,17.2575034777688,670038.261385043,"lag9",127.5,17.3333333333333,17.2555644435174
"128",21670,20.0453704003211,789678.026132436,"lag9",127.5,20,20.036210560936
"129",20738,22.6316601930866,825582.392386655,"lag9",127.5,22.6666666666667,22.6384091596963
"130",19178,25.2254987454294,830583.143596231,"lag9",127.5,25.3333333333333,25.2014854903965
"131",19382,27.9595293545992,864135.647910053,"lag9",127.5,28,27.9537321307265
"132",19502,30.689992650694,994437.539004486,"lag9",127.5,30.6666666666667,30.6777973974784
"133",20608,33.3690218604606,966970.302951776,"lag9",127.5,33.3333333333333,33.3735084578813
"134",18630,35.9769779720133,941631.675503435,"lag9",127.5,36,35.9662108680481
"135",20212,38.7001532244508,1012612.03857877,"lag9",127.5,38.6666666666667,38.6972562381699
"136",60082,0.870974744547695,416617.887763874,"lag10",142.5,1.33333333333333,0.869797621567366
"137",50702,4.08931770121273,453791.340406608,"lag10",142.5,4,4.10048653813318
