"np","dist","gamma","id","timelag","spacelag","avgDist"
"103",NA,NA,NA,"lag9",127.5,32.5,NA
"104",NA,NA,NA,"lag9",127.5,37.5,NA
"105",NA,NA,NA,"lag9",127.5,42.5,NA
"106",NA,NA,NA,"lag9",127.5,47.5,NA
"107",NA,NA,NA,"lag9",127.5,52.5,NA
"108",NA,NA,NA,"lag9",127.5,57.5,NA
"109",728096,2.02193544226569,859683.326945291,"lag10",142.5,2.5,2.00419506367919
"110",331866,6.33632442072483,1042844.85198244,"lag10",142.5,7.5,6.33630410835956
"111",NA,NA,NA,"lag10",142.5,12.5,10.0468624500388
"112",NA,NA,NA,"lag10",142.5,17.5,NA
"113",NA,NA,NA,"lag10",142.5,22.5,NA
"114",NA,NA,NA,"lag10",142.5,27.5,NA
"115",NA,NA,NA,"lag10",142.5,32.5,NA
"116",NA,NA,NA,"lag10",142.5,37.5,NA
"117",NA,NA,NA,"lag10",142.5,42.5,NA
"118",NA,NA,NA,"lag10",142.5,47.5,NA
"119",NA,NA,NA,"lag10",142.5,52.5,NA
"120",NA,NA,NA,"lag10",142.5,57.5,NA
"121",740614,2.03037234633445,868310.217785159,"lag11",157.5,2.5,2.00419506367919
"122",333992,6.33448203681891,1035566.04656976,"lag11",157.5,7.5,6.33630410835956
"123",NA,NA,NA,"lag11",157.5,12.5,10.0468624500388
"124",NA,NA,NA,"lag11",157.5,17.5,NA
"125",NA,NA,NA,"lag11",157.5,22.5,NA
"126",NA,NA,NA,"lag11",157.5,27.5,NA
"127",NA,NA,NA,"lag11",157.5,32.5,NA
"128",NA,NA,NA,"lag11",157.5,37.5,NA
"129",NA,NA,NA,"lag11",157.5,42.5,NA
"130",NA,NA,NA,"lag11",157.5,47.5,NA
"131",NA,NA,NA,"lag11",157.5,52.5,NA
"132",NA,NA,NA,"lag11",157.5,57.5,NA
"133",732134,2.04283275752401,852995.589473776,"lag12",172.5,2.5,2.00419506367919
"134",330016,6.33603350171513,1031516.53030334,"lag12",172.5,7.5,6.33630410835956
"135",NA,NA,NA,"lag12",172.5,12.5,10.0468624500388
"136",NA,NA,NA,"lag12",172.5,17.5,NA
"137",NA,NA,NA,"lag12",172.5,22.5,NA
"138",NA,NA,NA,"lag12",172.5,27.5,NA
"139",NA,NA,NA,"lag12",172.5,32.5,NA
"140",NA,NA,NA,"lag12",172.5,37.5,NA
"141",NA,NA,NA,"lag12",172.5,42.5,NA
"142",NA,NA,NA,"lag12",172.5,47.5,NA
"143",NA,NA,NA,"lag12",172.5,52.5,NA
"144",NA,NA,NA,"lag12",172.5,57.5,NA
"145",763218,2.01480496704978,826872.131644254,"lag13",187.5,2.5,2.00419506367919
"146",332194,6.34014203791503,1024030.51616041,"lag13",187.5,7.5,6.33630410835956
"147",2,10.0468624500388,739583.38205,"lag13",187.5,12.5,10.0468624500388
"148",NA,NA,NA,"lag13",187.5,17.5,NA
"149",NA,NA,NA,"lag13",187.5,22.5,NA
"150",NA,NA,NA,"lag13",187.5,27.5,NA
"151",NA,NA,NA,"lag13",187.5,32.5,NA
"152",NA,NA,NA,"lag13",187.5,37.5,NA
"153",NA,NA,NA,"lag13",187.5,42.5,NA
"154",NA,NA,NA,"lag13",187.5,47.5,NA
"155",NA,NA,NA,"lag13",187.5,52.5,NA
"156",NA,NA,NA,"lag13",187.5,57.5,NA
"157",744136,2.05085484334301,844925.715659906,"lag14",202.5,2.5,2.00419506367919
"158",330962,6.33764930488672,1022365.90395432,"lag14",202.5,7.5,6.33630410835956
"159",NA,NA,NA,"lag14",202.5,12.5,10.0468624500388
"160",NA,NA,NA,"lag14",202.5,17.5,NA
"161",NA,NA,NA,"lag14",202.5,22.5,NA
"162",NA,NA,NA,"lag14",202.5,27.5,NA
"163",NA,NA,NA,"lag14",202.5,32.5,NA
"164",NA,NA,NA,"lag14",202.5,37.5,NA
"165",NA,NA,NA,"lag14",202.5,42.5,NA
"166",NA,NA,NA,"lag14",202.5,47.5,NA
"167",NA,NA,NA,"lag14",202.5,52.5,NA
"168",NA,NA,NA,"lag14",202.5,57.5,NA
"169",739344,2.0295239676455,865729.558687902,"lag15",217.5,2.5,2.00419506367919
"170",330550,6.33196402466577,1035670.79285412,"lag15",217.5,7.5,6.33630410835956
"171",NA,NA,NA,"lag15",217.5,12.5,10.0468624500388
"172",NA,NA,NA,"lag15",217.5,17.5,NA
"173",NA,NA,NA,"lag15",217.5,22.5,NA
"174",NA,NA,NA,"lag15",217.5,27.5,NA
"175",NA,NA,NA,"lag15",217.5,32.5,NA
"176",NA,NA,NA,"lag15",217.5,37.5,NA
"177",NA,NA,NA,"lag15",217.5,42.5,NA
"178",NA,NA,NA,"lag15",217.5,47.5,NA
"179",NA,NA,NA,"lag15",217.5,52.5,NA
"180",NA,NA,NA,"lag15",217.5,57.5,NA
